===Datenbank sql1704097

== Tabellenstruktur für Tabelle reading

|------
|Spalte|Typ|Null|Standard
|------
|//**rid**//|int(3)|Nein|
|eidevice|varchar(20)|Nein|
|datetime|varchar(30)|Nein|
|state|varchar(255)|Nein|
== Daten für Tabelle reading

|29|232120b236a7c9ee|2019/10/3103:29:32pm|{ &quot;external&quot;: &quot;27.6&quot;, &quot;internal&quot;: &quot;27.2&quot;, &quot;light&quot;: 61599, &quot;voltage&quot;: 3.2820001 }
|30|232120b236a7c9ee|2019/10/3103:29:52pm|{ &quot;external&quot;: &quot;27.7&quot;, &quot;internal&quot;: &quot;27.2&quot;, &quot;light&quot;: 61567, &quot;voltage&quot;: 3.277 }
|31|232120b236a7c9ee|2019/10/3103:30:12pm|{ &quot;external&quot;: &quot;27.6&quot;, &quot;internal&quot;: &quot;27.2&quot;, &quot;light&quot;: 61567, &quot;voltage&quot;: 3.277 }
|32|232120b236a7c9ee|2019/10/3103:30:32pm|{ &quot;external&quot;: &quot;27.5&quot;, &quot;internal&quot;: &quot;27.1&quot;, &quot;light&quot;: 61503, &quot;voltage&quot;: 3.279 }
|33|232120b236a7c9ee|2019/10/3103:30:52pm|{ &quot;external&quot;: &quot;27.5&quot;, &quot;internal&quot;: &quot;27.1&quot;, &quot;light&quot;: 61663, &quot;voltage&quot;: 3.279 }
|34|232120b236a7c9ee|2019/10/3103:31:12pm|{ &quot;external&quot;: &quot;27.5&quot;, &quot;internal&quot;: &quot;27.1&quot;, &quot;light&quot;: 61599, &quot;voltage&quot;: 3.279 }
|35|232120b236a7c9ee|2019/10/3103:31:32pm|{ &quot;external&quot;: &quot;27.5&quot;, &quot;internal&quot;: &quot;27.1&quot;, &quot;light&quot;: 61599, &quot;voltage&quot;: 3.279 }
|36|232120b236a7c9ee|2019/10/3103:31:52pm|{ &quot;external&quot;: &quot;27.4&quot;, &quot;internal&quot;: &quot;27.1&quot;, &quot;light&quot;: 61599, &quot;voltage&quot;: 3.279 }
|37|232120b236a7c9ee|2019/10/3103:32:12pm|{ &quot;external&quot;: &quot;27.6&quot;, &quot;internal&quot;: &quot;27.1&quot;, &quot;light&quot;: 61583, &quot;voltage&quot;: 3.2750001 }
|38|232120b236a7c9ee|2019/10/3103:32:32pm|{ &quot;external&quot;: &quot;27.6&quot;, &quot;internal&quot;: &quot;27.0&quot;, &quot;light&quot;: 61567, &quot;voltage&quot;: 3.279 }
|39|232120b236a7c9ee|2019/10/3103:32:52pm|{ &quot;external&quot;: &quot;27.5&quot;, &quot;internal&quot;: &quot;27.0&quot;, &quot;light&quot;: 61631, &quot;voltage&quot;: 3.2820001 }
|40|232120b236a7c9ee|2019/10/3103:33:12pm|{ &quot;external&quot;: &quot;27.5&quot;, &quot;internal&quot;: &quot;27.0&quot;, &quot;light&quot;: 61631, &quot;voltage&quot;: 3.279 }
|41|232120b236a7c9ee|2019/10/3103:33:32pm|{ &quot;external&quot;: &quot;27.6&quot;, &quot;internal&quot;: &quot;27.0&quot;, &quot;light&quot;: 61647, &quot;voltage&quot;: 3.277 }
|42|232120b236a7c9ee|2019/10/3103:33:52pm|{ &quot;external&quot;: &quot;27.4&quot;, &quot;internal&quot;: &quot;27.0&quot;, &quot;light&quot;: 61663, &quot;voltage&quot;: 3.279 }
|43|232120b236a7c9ee|2019/10/3103:34:12pm|{ &quot;external&quot;: &quot;27.5&quot;, &quot;internal&quot;: &quot;27.2&quot;, &quot;light&quot;: 61631, &quot;voltage&quot;: 3.2750001 }
|44|232120b236a7c9ee|2019/10/3103:34:32pm|{ &quot;external&quot;: &quot;27.6&quot;, &quot;internal&quot;: &quot;27.1&quot;, &quot;light&quot;: 61679, &quot;voltage&quot;: 3.277 }
|45|232120b236a7c9ee|2019/10/3103:34:52pm|{ &quot;external&quot;: &quot;27.6&quot;, &quot;internal&quot;: &quot;27.2&quot;, &quot;light&quot;: 61679, &quot;voltage&quot;: 3.277 }
|46|232120b236a7c9ee|2019/10/3103:35:12pm|{ &quot;external&quot;: &quot;27.7&quot;, &quot;internal&quot;: &quot;27.2&quot;, &quot;light&quot;: 61663, &quot;voltage&quot;: 3.279 }
